fire_size probability
1.996666666666666856e+01 6.741573033707864895e-04
2.589999999999999858e+01 1.685393258426966224e-04
3.183333333333333215e+01 5.056179775280901382e-04
3.776666666666666572e+01 1.011235955056179192e-03
4.370000000000000284e+01 3.539325842696627172e-03
4.963333333333333997e+01 4.550561797752811569e-03
5.556666666666666288e+01 1.061797752808989366e-02
6.150000000000000000e+01 1.786516853932583124e-02
6.743333333333333712e+01 2.174157303370785263e-02
7.336666666666667425e+01 2.157303370786515379e-02
7.930000000000001137e+01 2.814606741573038445e-02
8.523333333333333428e+01 2.123595505617976303e-02
9.116666666666667140e+01 1.617977528089886707e-02
9.709999999999999432e+01 8.764044943820239325e-03
1.030333333333333314e+02 4.213483146067413011e-03
1.089666666666666686e+02 3.033707865168537576e-03
1.149000000000000057e+02 2.022471910112358384e-03
1.208333333333333428e+02 1.179775280898875652e-03
1.267666666666666799e+02 6.741573033707860558e-04
1.327000000000000171e+02 1.685393258426965139e-04
1.564333333333333371e+02 1.685393258426965139e-04
1.742333333333333485e+02 1.685393258426965139e-04
1.801666666666666856e+02 1.685393258426973271e-04
1.920333333333333314e+02 1.685393258426965139e-04
